,text,text_clean
0,"ence of the consciousness of the 
",ence consciousness
1,"other which is more direct than the consciousness of the self. 
",direct consciousness self
2,"As a consequence, the only truly essential difference which Husserl 
",consequence truly essential difference husserl
3,"maintained between the notion of individuality and that of collectivity is 
",maintained notion individuality collectivity
4,"effaced, and one has left, on both sides, only more or less systematic sets of 
",effaced one left sides less systematic sets
5,"conscious phenomena, intrinsically bound to each other: the individual, like 
",conscious phenomena intrinsically bound individual like
6,"the collectivity, is ""legion."" 
",collectivity legion
7,"It is evident that the individual grouping serves as the model of the social 
",evident individual grouping serves model social
8,"grouping. H usserl did not definitely free himself of individualism, failing to 
",grouping h usserl definitely free individualism failing
9,"give a clear conception of the individual in relation to society. 
",give clear conception individual relation society
10,"We must also assert that he did not avoid a restoration of organicism. The 
",must also assert avoid restoration organicism
11,"clearest manifestation of this deviation may be recognized in the metaphysical 
",clearest manifestation deviation may recognized metaphysical
12,"extensions which he believed were proper to furnish to his phenomenology. 
",extensions believed proper furnish phenomenology
13,"The world is ultimately presented as an immense society, the members of 
",world ultimately presented immense society members
14,"which occupy places, and exercise functions of different, and hierarchically 
",occupy places exercise functions different hierarchically
15,"ordered types, in the same way as there are many types of cells and functions in 
",ordered types way many types cells functions
16,"an organism. The universe's evolutionary path has, for a model, the 
",organism universes evolutionary path model
17,"development of the human being, from the embryo to the highest 
",development human embryo highest
18,"manifestations of reason: phylogenesis repeats ontogenesis. It is not by 
",manifestations reason phylogenesis repeats ontogenesis
19,"accident that H usserl saw in the community of philosophers and scientists a 
",accident h usserl saw community philosophers scientists
20,"sort of ""functional brain"" of society and of Western Culture.51 As in Plato, 
",sort functional brain society western culture plato
21,"from whom he takes the formulation, society is ""man writ large. ""52 
",takes formulation society man writ large
22,"For the profound analyses of Husserl to bearfruit, we must rid them of their 
",profound analyses husserl bearfruit must rid
23,"""egocentrism,"" take up the study of th(: experience of the other, and arrive at a 
",egocentrism take study th experience arrive
24,"notion less deliquescent to individuality. 
",notion less deliquescent individuality
25,"TRANSLATOR'S NOTE 
",translators note
26,"aM uch of the material referred to in this article may be found in E. Husserl, Zur 
",uch material referred article may found e husserl zur
27,"Phiinomen%gie der lntersubjektivitiit, H usserliana, Vols. XII, XIV, XV, ed., 
",phiinomengie der lntersubjektivitiit h usserliana vols xii xiv xv ed
28,"I. Kern (The Hague: Martinus Nijhoff, 1973) which had not been published 
",kern hague martinus nijhoff published
29,"when this article appeared. 
",article appeared
30,"NOTES TO THE TEXT 
",notes text
31,"I. This situation will change, perhaps, when the important group of documents is 
",situation change perhaps important group documents
32,"transcribed - more than a-thousand pages in shorthand - relating to this theme, 
",transcribed athousand pages shorthand relating theme
33,"and conserved at Louvain. 
",conserved louvain
34,"2. Cf. especially the paragraph: ""Die Person in Personenverband,"" Ideen II, pp. 
",cf especially paragraph die person personenverband ideen ii pp
35,"UNDERSTANDING HUSSERL'S TRANSCENDENTAL 
",understanding husserls transcendental
36,"PHENOMENOLOGY: AN INTRODUCTORY ESSAY 
",phenomenology introductory essay
37,"J.N. MOHANTY 
",jn mohanty
38,"""Essence,"" ""transcendental subjectivity,"" and ""lifeworld"" are the three 
",essence transcendental subjectivity lifeworld three
39,"cornerstones of Husserlian thinking. They are also respectively the key 
",cornerstones husserlian thinking also respectively key
40,"concepts of what has been regarded as the three stages of the development of 
",concepts regarded three stages development
