,common_word,count
0,life,941
1,human,736
2,sciences,626
3,lived,621
4,historical,491
5,experience,475
6,nexus,454
7,history,424
8,world,404
9,understanding,349
10,relation,316
11,object,268
12,relations,264
13,time,263
14,psychic,259
15,spirit,247
16,objective,246
17,knowledge,233
18,feeling,232
19,nature,232
20,formation,223
21,meaning,220
22,state,219
23,reality,218
24,experiences,213
25,given,211
26,consciousness,210
27,individual,206
28,basis,195
29,productive,193
30,inner,192
31,way,188
32,value,186
33,structural,184
34,thought,184
35,new,183
36,apprehension,182
37,sense,182
38,attitude,170
39,systems,170
40,forms,164
41,parts,160
42,present,159
43,concepts,156
44,development,152
45,means,151
46,possible,147
47,relationship,145
48,point,142
49,expression,141
50,form,141
51,course,138
52,different,138
53,natural,137
54,cognition,136
55,conceptual,136
56,structure,133
57,values,133
58,concept,131
59,objects,130
60,logical,128
61,states,127
62,particular,126
63,content,124
64,law,122
65,tion,121
66,process,119
67,universal,119
68,work,119
69,fact,118
70,feelings,117
71,individuals,116
72,ing,115
73,unity,115
74,common,114
75,subject,113
76,theory,107
77,based,106
78,does,106
79,purpose,104
80,task,104
81,general,103
82,science,103
83,experienced,102
84,purposes,101
85,merely,100
86,contained,99
87,great,99
88,order,99
89,just,97
90,past,96
91,problem,96
92,power,94
93,religious,93
94,various,93
95,foundation,92
96,processes,91
97,political,90
98,related,90
99,german,89
100,character,87
101,existence,86
102,categories,85
103,events,85
104,memory,85
105,external,80
106,scientific,80
107,grounded,78
108,affairs,77
109,function,77
110,future,77
111,understand,77
112,cultural,76
113,grasp,76
114,makes,76
115,age,75
116,place,75
117,determined,74
118,person,74
119,art,73
120,arises,72
121,connected,72
122,kind,72
123,reflection,72
124,analysis,71
125,ideas,71
126,expressed,69
127,judgment,69
128,lies,69
129,representation,69
130,according,68
131,domain,67
132,ences,67
133,experi,67
134,functions,67
135,critique,66
136,enlightenment,65
137,specific,65
138,studies,65
139,study,65
140,conditions,64
141,ideal,64
142,pro,64
143,rules,64
144,tions,64
145,historian,63
146,laws,63
147,willing,63
148,works,63
149,change,62
150,man,62
151,systematic,62
152,like,61
153,progress,61
154,real,61
155,basic,60
156,forces,60
157,interpretation,60
158,intuition,60
159,make,60
160,relationships,60
161,connectedness,59
162,direction,59
163,emerges,59
164,hand,59
165,kinds,59
166,method,59
167,question,59
168,sphere,59
169,understood,59
170,higher,58
171,influence,58
172,mode,58
173,operations,58
174,distinctive,57
175,exists,57
176,facts,57
177,developed,56
178,judgments,56
179,ones,56
180,action,55
181,attitudes,55
182,contains,55
183,outer,55
184,persons,55
185,tendency,55
186,act,54
187,changes,54
188,contents,54
189,leads,54
190,spiritual,54
191,com,53
192,conscious,53
193,force,53
194,highest,53
195,lifecourse,53
196,acts,52
197,continuation,52
198,essence,52
199,important,52
200,plan,52
201,principle,52
202,self,52
203,valid,52
204,arise,51
205,beings,51
206,ex,51
207,inherent,51
208,philosophy,51
209,things,51
210,culture,50
211,goal,50
212,involved,50
213,reason,50
214,representations,50
215,terms,50
216,awareness,49
217,express,49
218,finally,49
219,humanity,49
220,moment,49
221,moments,49
222,people,49
223,possibilities,49
224,special,49
225,apprehended,48
226,certain,48
227,modes,48
228,reference,48
229,striving,48
230,case,47
231,connection,47
232,drafts,47
233,ence,47
234,hegel,47
235,characteristic,46
236,come,46
237,possibility,46
238,realized,46
239,religion,46
240,sequence,46
241,thing,46
242,validity,46
243,conditioned,45
244,consists,45
245,insofar,45
246,linked,45
247,sci,45
248,advance,44
249,comes,44
250,constantly,44
251,context,44
252,emerge,44
253,nations,44
254,perception,44
255,produced,44
256,ways,44
257,able,43
258,accordingly,43
259,complex,43
260,formed,43
261,independent,43
262,involves,43
263,perspective,43
264,purposive,43
265,sensory,43
266,condition,42
267,develop,42
268,expressions,42
269,physical,42
270,scope,42
271,society,42
272,turn,42
273,directed,41
274,distinct,41
275,nation,41
276,occurs,41
277,psychological,41
278,school,41
279,finds,40
280,images,40
281,matter,40
282,philosophical,40
283,sw,40
284,view,40
285,words,40
286,cal,39
287,category,39
288,elementary,39
289,manifold,39
290,overall,39
291,single,39
292,determinate,38
293,felt,38
294,manifestations,38
295,need,38
296,poetry,38
297,rela,38
298,satisfaction,38
299,set,38
300,social,38
301,volitional,38
302,especially,37
303,exist,37
304,extent,37
305,fundamental,37
306,good,37
307,kant,37
308,movement,37
309,ness,37
310,procedure,37
311,psychology,37
312,second,37
313,temporal,37
314,constitute,36
315,contrast,36
316,entire,36
317,fully,36
318,literature,36
319,music,36
320,produce,36
321,series,36
322,standpoint,36
323,appears,35
324,cognitive,35
325,difference,35
326,produces,35
327,refers,35
328,apprehending,34
329,bring,34
330,century,34
331,clear,34
332,established,34
333,idea,34
334,appear,33
335,goals,33
336,gs,33
337,limits,33
338,musical,33
339,necessary,33
340,period,33
341,sion,33
342,stages,33
343,conception,32
344,depths,32
345,designate,32
346,determination,32
347,effect,32
348,end,32
349,establish,32
350,hu,32
351,insight,32
352,legal,32
353,material,32
354,mean,32
355,methods,32
356,refer,32
357,rule,32
358,stage,32
359,accordance,31
360,community,31
361,creative,31
362,expresses,31
363,ii,31
364,language,31
365,logic,31
366,national,31
367,properties,31
368,rational,31
369,results,31
370,significance,31
371,stand,31
372,total,31
373,totality,31
374,true,31
375,use,31
376,abstract,30
377,experiencing,30
378,obligation,30
379,points,30
380,represented,30
381,result,30
382,singular,30
383,stands,30
384,subjects,30
385,universally,30
386,activity,29
387,aspects,29
388,assertions,29
389,attain,29
390,constitutes,29
391,contain,29
392,empirical,29
393,event,29
394,faith,29
395,free,29
396,manifests,29
397,ment,29
398,objectively,29
399,separated,29
400,standing,29
401,takes,29
402,truths,29
403,attempt,28
404,beginning,28
405,constant,28
406,dependent,28
407,description,28
408,earlier,28
409,follows,28
410,fulfillment,28
411,grounding,28
412,instance,28
413,pleasure,28
414,procedures,28
415,remains,28
416,shown,28
417,stable,28
418,belong,27
419,biography,27
420,cases,27
