,common_word,count
0,life,1021
1,world,830
2,philosophy,585
3,human,440
4,content,381
5,subject,363
6,use,349
7,sun,315
8,downloaded,313
9,nov,313
10,utc,313
11,religious,305
12,experience,285
13,view,261
14,ethical,246
15,inner,239
16,consciousness,237
17,nature,221
18,sciences,217
19,religion,197
20,historical,195
21,thought,185
22,feeling,183
23,systems,174
24,way,174
25,form,170
26,power,169
27,new,163
28,views,161
29,philosophical,159
30,great,158
31,forms,155
32,moral,154
33,metaphysical,153
34,natural,153
35,dilthey,152
36,individual,150
37,ethics,149
38,feelings,144
39,relation,141
40,basis,140
41,means,138
42,society,136
43,development,134
44,order,126
45,essence,123
46,principle,122
47,history,120
48,time,120
49,universal,118
50,based,116
51,work,115
52,beings,112
53,metaphysics,112
54,social,112
55,actual,111
56,knowledge,111
57,nexus,111
58,self,111
59,things,109
60,general,108
61,value,106
62,science,103
63,sense,103
64,spirit,101
65,point,99
66,psychic,99
67,according,98
68,ideal,98
69,theory,97
70,attitude,96
71,method,96
72,culture,95
73,particular,94
74,relations,93
75,given,92
76,processes,92
77,valid,92
78,cognition,90
79,concept,90
80,lived,90
81,german,87
82,just,86
83,kind,86
84,values,86
85,different,85
86,law,85
87,poetry,85
88,external,84
89,drives,83
90,action,82
91,course,80
92,fact,80
93,objective,80
94,experiences,79
95,state,79
96,kant,76
97,process,76
98,concepts,75
99,structure,75
100,universally,75
101,basic,74
102,higher,74
103,person,74
104,ing,73
105,like,72
106,scientific,71
107,idealism,70
108,place,70
109,existence,68
110,forces,68
111,freedom,68
112,reflection,68
113,spiritual,68
114,right,67
115,facts,66
116,individuals,66
117,make,66
118,principles,66
119,unity,66
120,possible,65
121,task,64
122,art,63
123,character,63
124,divine,63
125,foundation,63
126,merely,63
127,problem,63
128,developed,62
129,pleasure,62
130,relationship,62
131,sphere,62
132,understanding,62
133,tion,61
134,types,61
135,validity,61
136,benevolence,60
137,conception,59
138,does,59
139,force,58
140,highest,58
141,persons,58
142,century,57
143,finally,57
144,need,57
145,christian,56
146,expression,56
147,good,56
148,physical,56
149,present,56
150,reality,56
151,certain,55
152,common,55
153,philosophers,55
154,conceptual,54
155,free,54
156,ground,54
157,level,54
158,religiosity,54
159,various,54
160,volitional,54
161,goal,53
162,god,53
163,laws,53
164,systematic,53
165,philosopher,52
166,man,51
167,section,51
168,states,51
169,conditions,50
170,connected,50
171,influence,50
172,meaning,50
173,modern,50
174,overall,50
175,thinkers,50
176,movement,49
177,reason,49
178,vi,49
179,solidarity,48
180,standpoint,48
181,terms,48
182,coherence,47
183,cultural,47
184,finds,47
185,independent,47
186,invisible,47
187,ultimate,47
188,arises,46
189,derive,46
190,purpose,46
191,volume,46
192,able,45
193,functions,45
194,main,45
195,people,45
196,soul,45
197,worth,45
198,formation,44
199,practical,44
200,specific,44
201,thinking,44
202,actions,43
203,important,43
204,lies,43
205,ones,43
206,phenomena,43
207,political,43
208,result,43
209,rooted,43
210,true,43
211,universe,43
212,works,43
213,age,42
214,determined,42
215,develop,42
216,function,42
217,intellectual,42
218,justice,42
219,attempt,41
220,commitment,41
221,effect,41
222,empirical,41
223,grounded,41
224,hand,41
225,happiness,41
226,literature,41
227,love,41
228,mind,41
229,morality,41
230,psychological,41
231,results,41
232,tendency,41
233,tions,41
234,compassion,40
235,grasp,40
236,introduction,40
237,mere,40
238,express,39
239,iv,39
240,leads,39
241,limited,39
242,living,39
243,peoples,39
244,personal,39
245,psychology,39
246,quite,39
247,schopenhauer,39
248,type,39
249,arise,38
250,conditioned,38
251,effects,38
252,related,38
253,riddle,38
254,christianity,37
255,context,37
256,duty,37
257,ex,37
258,expressed,37
259,formative,37
260,insight,37
261,poetic,37
262,powerful,37
263,purposive,37
264,second,37
265,analysis,36
266,diltheys,36
267,essential,36
268,led,36
269,problems,36
270,respect,36
271,school,36
272,stages,36
273,affairs,35
274,comes,35
275,conscious,35
276,derived,35
277,did,35
278,ideas,35
279,purposes,35
280,satisfaction,35
281,stand,35
282,times,35
283,activity,34
284,communion,34
285,directed,34
286,drive,34
287,end,34
288,object,34
